id,status,title,authors,year,date,venue,paper_type,direction,technical_route,llm_role,architecture_target,simulator_toolchain,evaluation_metrics,category,recent_half_year_arxiv,pdf_path,official_url,oa_url,doi_arxiv_id,notes
pf_llm_2026,main,PF-LLM: Large Language Model Hinted Hardware Prefetching,Ceyu Xu; Xiangfeng Sun; Weihang Li; Chen Bai; Bangyan Wang; Mengming Li; Zhiyao Xie; Yuan Xie,2026,2026-03-26,ASPLOS 2026,top conference paper,LLM-assisted microarchitecture policy design,LLM-assisted microarchitecture policy design,LLM hints hardware prefetching policy/design choices,hardware prefetching / processor microarchitecture,not available from public program page,9.8% average IPC improvement over state-of-the-art hardware prefetching baselines on memory-intensive SPEC 2017; 18.9% over state-of-the-art ensemble methods,02_LLM_for_Microarchitecture_Policy_Design,unknown,AI_for_Arch_LLM_Literature\02_LLM_for_Microarchitecture_Policy_Design\2026_ASPLOS_2026_Xu_PF_LLM_Large_Language_Model_Hinted_Hardware_Pref.pdf,https://doi.org/10.1145/3779212.3790202,https://fact-lab.hkust.edu.hk/publications/conference-paper/2025/xu-2025-pf-llm/3779212.3790202.pdf,DOI:10.1145/3779212.3790202,Accepted in ASPLOS 2026 Session 7D Processor Microarchitecture; ASPLOS'26 Best Paper Award. Strong top-venue microarchitecture match.
cachemind_2026,main,"CacheMind: From Miss Rates to Why -- Natural-Language, Trace-Grounded Reasoning for Cache Replacement",Kaushal Mhapsekar; Azam Ghanbari; Bita Aslrousta; Samira Mirbagher-Ajorpaz,2026,2026-02-12,ASPLOS 2026 / arXiv,top conference paper / preprint,LLM for cache replacement reasoning,RAG/trace-grounded reasoning,Conversational RAG system explains cache traces and replacement behavior,cache replacement,ChampSim traces; SIEVE/RANGER retrievers,CacheMindBench accuracy: trace-grounded and policy-specific reasoning tasks,02_LLM_for_Microarchitecture_Policy_Design,yes,AI_for_Arch_LLM_Literature\02_LLM_for_Microarchitecture_Policy_Design\2026_ASPLOS_2026_Mhapsekar_CacheMind_From_Miss_Rates_to_Why_Natural_Languag.pdf,https://doi.org/10.1145/3779212.3790136,https://arxiv.org/abs/2602.12422,arXiv:2602.12422; DOI:10.1145/3779212.3790136,Strong match: LLM/RAG directly supports microarchitectural cache-replacement analysis.
agentic_architect_2026,main,Agentic Architect: An Agentic AI Framework for Architecture Design Exploration and Optimization,Alexander Blasberg; Vasilis Kypriotis; Dimitrios Skarlatos,2026,2026-04-28,arXiv,recent preprint,agentic microarchitecture design,Agentic closed-loop design,LLM agent evolves code/design policies under simulator feedback,cache replacement; data prefetching; branch prediction,cycle-accurate simulation; open-source agentic evaluation harness,"geomean IPC speedup over LRU/Mockingjay, Bimodal/Hashed Perceptron, no-prefetch/SMS",02_LLM_for_Microarchitecture_Policy_Design,yes,AI_for_Arch_LLM_Literature\02_LLM_for_Microarchitecture_Policy_Design\2026_arXiv_Blasberg_Agentic_Architect_An_Agentic_AI_Framework_for_Ar.pdf,https://arxiv.org/abs/2604.25083,https://arxiv.org/abs/2604.25083,arXiv:2604.25083,Recent half-year arXiv; one of the clearest end-to-end LLM-agent microarchitecture design papers.
gem5_copilot_2025,main,gem5 Co-Pilot: AI Assistant Agent for Architectural Design Space Exploration,Zuoming Fu; Alexander M. Manley; Mohammad Alian,2025,2025-10-21,CAMS 2025 / arXiv,workshop paper / preprint,LLM agent for gem5 DSE,Natural-language DSE interface; Agentic closed-loop design; RAG/DSDB,"LLM state-machine agent analyzes past simulations, proposes gem5 parameter batches, and answers user questions",gem5 L2 cache hierarchy parameter DSE under cost/power constraints,gem5; McPAT; Design Space Declarative Language; Design Space Database; Streamlit UI,near-optimal perf_ratio with 2-12 gem5 runs; API cost below 0.5 USD/session,01_LLM_Agents_for_DSE,"no (submitted 2025-10-21, nine days before cutoff)",AI_for_Arch_LLM_Literature\01_LLM_Agents_for_DSE\2025_CAMS_2025_Fu_gem5_Co_Pilot_AI_Assistant_Agent_for_Architectur.pdf,https://arxiv.org/abs/2510.19577,https://wisl.ece.cornell.edu/papers/gem5-co-pilot-cams-25.pdf,arXiv:2510.19577,Directly matches the user request; important gem5-centered exemplar.
quarch_2025,main,QuArch: A Benchmark for Evaluating LLM Reasoning in Computer Architecture,Shvetank Prakash; Andrew Cheng; Arya Tschand; Mark Mazumder; Varun Gohil; Jeffrey Ma; Jason Yik; Zishen Wan; Jessica Quaye; Elisavet Lydia Alvanaki; Avinash Kumar; Chandrashis Mazumdar; Tuhin Khare; Alexander Ingare; Ikechukwu Uchendu; Radhika Ghosal; Abhishek Tyagi; Chenyu Wang; Andrea Mattia Garavagno; Shuning Gu; Alicia Guo; Grace Hur; Luca Marcello Carloni; Tushar Krishna; Ankita Nayak; Amir Yazdanbakhsh; Vijay Janapa Reddi,2025,2025-10-24,"OpenReview / arXiv, submitted to ICLR 2026",benchmark / preprint,LLM benchmark for computer architecture reasoning,Benchmark/dataset for architecture reasoning,"Evaluates LLM architecture knowledge, analysis, design, and implementation reasoning",processor design; memory systems; interconnection networks,QA benchmark; LLM-as-judge and human grading,"2,671 expert-validated QA pairs; frontier model accuracy range about 34%-72%",90_Surveys_Position_and_Vision,"no (submitted 2025-10-24, six days before cutoff)",AI_for_Arch_LLM_Literature\90_Surveys_Position_and_Vision\2025_OpenReview_Prakash_QuArch_A_Benchmark_for_Evaluating_LLM_Reasoning.pdf,https://openreview.net/forum?id=nhcz0uni55,https://arxiv.org/abs/2510.22087,arXiv:2510.22087,"Not a design method, but foundational for evaluating LLMs in computer architecture."
lpcm_2025,main,Large Processor Chip Model,Kaiyan Chang; Mingzhi Chen; Yunji Chen; Zhirong Chen; Dongrui Fan; Junfeng Gong; Nan Guo; Yinhe Han; Qinfen Hao; Shuo Hou; Xuan Huang; Pengwei Jin; Changxin Ke; Cangyuan Li; Guangli Li; Huawei Li; Kuan Li; Naipeng Li; Shengwen Liang; Cheng Liu; Hongwei Liu; Jiahua Liu; Junliang Lv; Jianan Mu; Jin Qin; Bin Sun; Chenxi Wang; Duo Wang; Mingjun Wang; Ying Wang; Chenggang Wu; Peiyang Wu; Teng Wu; Xiao Xiao; Mengyao Xie; Chenwei Xiong; Ruiyuan Xu; Mingyu Yan; Xiaochun Ye; Kuai Yu; Rui Zhang; Shuoming Zhang; Jiacheng Zhao et al.,2025,2025-06-03,arXiv / Science China Information Sciences for review,position paper,LLM-driven end-to-end processor/chip design vision,Survey/vision; Agentic closed-loop design,"LPCM proposes LLM/agent levels for compiler, binary translation, simulator, partitioning, DSE, RTL generation",processor/chip architecture across software-hardware stack,LLVM; gem5; Chisel; Verilog simulators; 3D Gaussian Splatting workload case study,case-study effectiveness; mostly roadmap/position analysis,90_Surveys_Position_and_Vision,no,AI_for_Arch_LLM_Literature\90_Surveys_Position_and_Vision\2025_arXiv_Chang_Large_Processor_Chip_Model.pdf,https://arxiv.org/abs/2506.02929,https://arxiv.org/abs/2506.02929,arXiv:2506.02929,Useful Chinese-led vision paper for LLM-for-architecture framing.
llm_dse_2025,main,LLM-DSE: Searching Accelerator Parameters with LLM Agents,Hanyu Wang; Xinrui Wu; Zijian Ding; Su Zheng; Chengyue Wang; Tony Nowatzki; Yizhou Sun; Jason Cong,2025,2025-05-18,arXiv,preprint,LLM agents for accelerator/HLS DSE,Agentic closed-loop design,"Router, Specialist, Arbitrator, and Critic agents guide parameter search with online verbal learning",HLS directive/parameter optimization for domain-specific accelerators,Merlin/Stratus/Vitis-style HLS flows; HLSyn; Rosetta,2.55x performance gain over AutoDSE; runtime reduction; ablations on agent interactions,01_LLM_Agents_for_DSE,no,AI_for_Arch_LLM_Literature\01_LLM_Agents_for_DSE\2025_arXiv_Wang_LLM_DSE_Searching_Accelerator_Parameters_with_LL.pdf,https://arxiv.org/abs/2505.12188,https://arxiv.org/abs/2505.12188,arXiv:2505.12188,Strong DSE fit; accelerator/HLS rather than CPU microarchitecture.
lift_2025,main,LIFT: LLM-Based Pragma Insertion for HLS via GNN Supervised Fine-Tuning,Neha Prakriya; Zijian Ding; Yizhou Sun; Jason Cong,2025,2025-04-29,arXiv,preprint,LLM-assisted HLS pragma generation,Hardware design/spec optimization with LLM fine-tuning,Fine-tuned LLM generates performance-critical pragmas with GNN supervision,FPGA/HLS microarchitecture transformations,HLSyn; AutoDSE; HARP; ProGraML/LLVM IR graph supervision,3.52x over AutoDSE; 2.16x over HARP; 66x over GPT-4o baseline,05_LLM_for_Hardware_Spec_RTL_Verification_when_arch_relevant,no,AI_for_Arch_LLM_Literature\05_LLM_for_Hardware_Spec_RTL_Verification_when_arch_relevant\2025_arXiv_Prakriya_LIFT_LLM_Based_Pragma_Insertion_for_HLS_via_GNN.pdf,https://arxiv.org/abs/2504.21187,https://arxiv.org/abs/2504.21187,arXiv:2504.21187,"HLS rather than classic Arch venue, but highly relevant to architecture-generation workflow."
idse_2025,main,iDSE: Navigating Design Space Exploration in High-Level Synthesis Using LLMs,Runkai Li; Jia Xiong; Xi Wang,2025,2025-05-28,arXiv,preprint,LLM-aided HLS DSE,Natural-language/DSE reasoning; Agentic closed-loop design,"LLM prunes design space, generates warm-start samples, reflects on QoR trajectories, and refines Pareto designs",HLS directive configurations and generated microarchitectures,vendor HLS synthesis flow; NSGA-II/ACO/MOEA-D/Lattice/HGBO-DSE baselines,5.1x-16.6x better proximity to reference Pareto front; matches NSGA-II with 4.6% explored designs,01_LLM_Agents_for_DSE,no,AI_for_Arch_LLM_Literature\01_LLM_Agents_for_DSE\2025_arXiv_Li_iDSE_Navigating_Design_Space_Exploration_in_High.pdf,https://arxiv.org/abs/2505.22086,https://arxiv.org/abs/2505.22086,arXiv:2505.22086,Important HLS DSE paper; likely arXiv-only in this pass.
mpm_llm4dse_2026,main,MPM-LLM4DSE: Reaching the Pareto Frontier in HLS with Multimodal Learning and LLM-Driven Exploration,Lei Xu; Shanshan Wang; Chenglong Xiao,2026,2026-01-08,arXiv,recent preprint,LLM-driven HLS Pareto DSE,LLM optimizer with multimodal QoR predictor,LLM acts as optimizer guided by pragma-impact prompt engineering; code text embeddings augment prediction,HLS pragma configuration / accelerator design,HLS synthesis data; multimodal prediction model; ProgSG baseline,up to 10.25x QoR-prediction improvement; 39.90% DSE performance gain over prior methods,01_LLM_Agents_for_DSE,yes,AI_for_Arch_LLM_Literature\01_LLM_Agents_for_DSE\2026_arXiv_Xu_MPM_LLM4DSE_Reaching_the_Pareto_Frontier_in_HLS.pdf,https://arxiv.org/abs/2601.04801,https://arxiv.org/abs/2601.04801,arXiv:2601.04801,Recent half-year arXiv; HLS-specific but strongly DSE-oriented.
diffhls_2026,main,DiffHLS: Differential Learning for High-Level Synthesis QoR Prediction with GNNs and LLM Code Embeddings,Zedong Peng; Zeju Li; Qiang Xu; Jieru Zhao,2026,2026-04-10,arXiv,recent preprint,LLM code embeddings for HLS QoR prediction,Surrogate/QoR prediction augmented by pretrained code LLM embeddings,Pretrained code LLM embeddings improve delta-path QoR prediction,HLS pragma-driven design variants,PolyBench; ForgeHLS; GNN backbones,lower MAPE than GNN baselines; LLM embeddings improve GNN-only ablation,05_LLM_for_Hardware_Spec_RTL_Verification_when_arch_relevant,yes,AI_for_Arch_LLM_Literature\05_LLM_for_Hardware_Spec_RTL_Verification_when_arch_relevant\2026_arXiv_Peng_DiffHLS_Differential_Learning_for_High_Level_Syn.pdf,https://arxiv.org/abs/2604.09240,https://arxiv.org/abs/2604.09240,arXiv:2604.09240,Recent half-year arXiv; more prediction/surrogate than agentic design.
chathls_2025,main,ChatHLS: Towards Systematic Design Automation and Optimization for High-Level Synthesis,Runkai Li; Jia Xiong; Xiuyuan He; Jiaqi Lv; Jieru Zhao; Qiang Xu; Xi Wang,2025,2025-07-01,arXiv,preprint,multi-agent HLS design automation,LLM for simulation workflow; hardware design/spec optimization,Fine-tuned LLMs in multi-agent framework for HLS-C debugging and QoR-aware directive optimization,HLS code and accelerator design,HLS toolchains; verification-oriented data augmentation,82.7% repair pass rate; 1.9x-14.8x speedups; 4.9x geomean over DSL-based approaches,05_LLM_for_Hardware_Spec_RTL_Verification_when_arch_relevant,no,AI_for_Arch_LLM_Literature\05_LLM_for_Hardware_Spec_RTL_Verification_when_arch_relevant\2025_arXiv_Li_ChatHLS_Towards_Systematic_Design_Automation_and.pdf,https://arxiv.org/abs/2507.00642,https://arxiv.org/abs/2507.00642,arXiv:2507.00642,"Bridge between HLS code generation, repair, and architecture optimization."
hls_trans_2025,main,HLStrans: Dataset for C-to-HLS Hardware Code Synthesis,Qingyun Zou; Nuo Chen; Yao Chen; Bingsheng He; Weng-Fai Wong,2025,2025-07-06,"OpenReview / arXiv, submitted to ICLR 2026",dataset / benchmark,dataset for LLM-driven C-to-HLS synthesis,Benchmark/dataset; hardware design/spec optimization,LLMs are benchmarked and used in augmentation pipeline with MCTS/DSE,FPGA/HLS program transformations and pragmas,HLS synthesis annotations; testbenches; DSE pipeline,124K+ paired C/HLS programs in initial report; retrieval/fine-tuning improves success and latency,05_LLM_for_Hardware_Spec_RTL_Verification_when_arch_relevant,no,AI_for_Arch_LLM_Literature\05_LLM_for_Hardware_Spec_RTL_Verification_when_arch_relevant\2025_OpenReview_Zou_HLStrans_Dataset_for_C_to_HLS_Hardware_Code_Synt.pdf,https://openreview.net/forum?id=6UaXec8aUt,https://arxiv.org/abs/2507.04315,arXiv:2507.04315,"Dataset/benchmark, included because it supports LLM-for-HLS architecture workflows."
hlspilot_2024,main,HLSPilot: LLM-based High-Level Synthesis,Chenwei Xiong; Cheng Liu; Huawei Li; Xiaowei Li,2024,2024-08-13,ICCAD 2024 / arXiv,top EDA conference paper / preprint,LLM-enabled end-to-end HLS hardware acceleration,LLM for simulation workflow; hardware/software co-design; DSE tool use,"LLM profiles software, identifies bottlenecks, retrieves HLS strategies, generates optimized HLS code, invokes DSE tooling, and helps CPU-FPGA deployment",hybrid CPU-FPGA accelerators and HLS-generated microarchitectures,gprof; Vitis HLS; Xilinx Alveo U280; GenHLSOptimizer; XRT,comparable to or better than manual HLS designs on real-world application benchmarks,05_LLM_for_Hardware_Spec_RTL_Verification_when_arch_relevant,no,AI_for_Arch_LLM_Literature\05_LLM_for_Hardware_Spec_RTL_Verification_when_arch_relevant\2024_ICCAD_2024_Xiong_HLSPilot_LLM_based_High_Level_Synthesis.pdf,https://doi.org/10.1145/3676536.3676781,https://arxiv.org/abs/2408.06810,arXiv:2408.06810; DOI:10.1145/3676536.3676781,"Early and important LLM-for-HLS framework; bridges profiling, partitioning, HLS codegen, DSE, and deployment."
hls_eval_2025,main,HLS-Eval: A Benchmark and Framework for Evaluating LLMs on High-Level Synthesis Design Tasks,Stefan Abi-Karam; Cong Hao,2025,2025-04-16,IEEE ICLAD 2025 / arXiv,conference paper / benchmark,benchmark for LLM-driven HLS design tasks,Benchmark/dataset; hardware design/spec optimization,Evaluates LLMs for HLS code generation and HLS-specific code edits targeting performance/hardware efficiency,HLS designs for accelerators and hardware systems,Vitis HLS; automated parallel evaluation framework,"94 unique HLS designs; parseability, compilability, runnability, synthesizability, pass@k",05_LLM_for_Hardware_Spec_RTL_Verification_when_arch_relevant,no,AI_for_Arch_LLM_Literature\05_LLM_for_Hardware_Spec_RTL_Verification_when_arch_relevant\2025_IEEE_ICLAD_2025_Abi_Karam_HLS_Eval_A_Benchmark_and_Framework_for_Evaluatin.pdf,https://doi.org/10.1109/ICLAD65226.2025.00021,https://arxiv.org/abs/2504.12268,arXiv:2504.12268; DOI:10.1109/ICLAD65226.2025.00021,"Evaluation infrastructure rather than design optimizer, but central for measuring LLM-for-HLS progress."
sage_hls_2025,main,SAGE-HLS: Syntax-Aware AST-Guided LLM for High-Level Synthesis Code Generation,M. Zafir Sadik Khan; Nowfel Mashnoor; Mohammad Akyash; Kimia Zamiri Azar; Hadi Kamali,2025,2025-08-05,arXiv,preprint,syntax-aware LLM for HLS code generation,Hardware design/spec optimization,Fine-tuned LLM uses AST-guided instruction prompting and Verilog-to-C/C++ porting to improve synthesizable HLS code generation,HLS code for FPGA/ASIC hardware generation,semi-automated HLS evaluation; AST-guided prompting,synthesizability and functional correctness of generated HLS code,05_LLM_for_Hardware_Spec_RTL_Verification_when_arch_relevant,no,AI_for_Arch_LLM_Literature\05_LLM_for_Hardware_Spec_RTL_Verification_when_arch_relevant\2025_arXiv_Khan_SAGE_HLS_Syntax_Aware_AST_Guided_LLM_for_High_Le.pdf,https://arxiv.org/abs/2508.03558,https://arxiv.org/abs/2508.03558,arXiv:2508.03558,HLS code-generation item; included because it targets synthesizable hardware design rather than generic code.
bench4hls_2026,main,Bench4HLS: End-to-End Evaluation of LLMs in High-Level Synthesis Code Generation,M. Zafir Sadik Khan; Kimia Zamiri Azar; Hadi Kamali,2026,2026-01-16,arXiv,recent preprint / benchmark,end-to-end benchmark for LLM-generated HLS,Benchmark/dataset; hardware design/spec optimization,"Benchmarks LLM-generated HLS designs through compilation, simulation, synthesis, and PPA analysis",HLS designs from small kernels to complex accelerators,Xilinx Vitis HLS; Catapult HLS validation; pluggable PPA API,"170 manually drafted and validated case studies; compilation, functional correctness, synthesis feasibility, PPA",05_LLM_for_Hardware_Spec_RTL_Verification_when_arch_relevant,yes,AI_for_Arch_LLM_Literature\05_LLM_for_Hardware_Spec_RTL_Verification_when_arch_relevant\2026_arXiv_Khan_Bench4HLS_End_to_End_Evaluation_of_LLMs_in_High.pdf,https://arxiv.org/abs/2601.19941,https://arxiv.org/abs/2601.19941,arXiv:2601.19941,Recent half-year arXiv benchmark; useful to compare HLS-Eval and HLStrans.
hls_directives_llm_2025,main,High-level Synthesis Directives Design Optimization via Large Language Model,Xufeng Yao; Wenqian Zhao; Qi Sun; Cheng Zhuo; Bei Yu,2025,2025-07,ACM Transactions on Design Automation of Electronic Systems,journal article,LLM for HLS directive optimization,Hardware design/spec optimization; Agentic closed-loop design,Uses LLMs as feature extractors and autonomous agents for HLS directive optimization,HLS directives and FPGA design space exploration,HLS DSE workflow; Bayesian optimization context,HLS directive optimization quality; see journal paper for details,05_LLM_for_Hardware_Spec_RTL_Verification_when_arch_relevant,no,,https://doi.org/10.1145/3747291,,DOI:10.1145/3747291,Peer-reviewed ACM TODAES journal article; no open PDF found in this pass.
timelyhls_2025,main,TimelyHLS: LLM-Based Timing-Aware and Architecture-Specific FPGA HLS Optimization,Nowfel Mashnoor; Mohammad Akyash; Hadi Kamali; Kimia Zamiri Azar,2025,2025-07-23,IEEE COINS 2025 / arXiv,conference paper / preprint,RAG-assisted FPGA/HLS optimization,RAG/trace-grounded reasoning; hardware design/spec optimization,LLM with RAG generates and iteratively refines timing- and architecture-specific pragmas from synthesis feedback,FPGA-specific HLS code and RTL quality,commercial HLS toolchains; structured FPGA architecture knowledge base,up to 70% less manual tuning; up to 4x latency speedup; >50% area savings in cases,05_LLM_for_Hardware_Spec_RTL_Verification_when_arch_relevant,no,AI_for_Arch_LLM_Literature\05_LLM_for_Hardware_Spec_RTL_Verification_when_arch_relevant\2025_IEEE_COINS_2025_Mashnoor_TimelyHLS_LLM_Based_Timing_Aware_and_Architectur.pdf,https://doi.org/10.48550/arXiv.2507.17962,https://arxiv.org/abs/2507.17962,arXiv:2507.17962,Architecture-specific RAG knowledge base makes it more relevant than generic RTL generation.
searchgem5_2023,main,SearchGEM5: Towards Reliable gem5 with Search Based Software Testing and Large Language Models,Aidan Dakhama; Karine Even-Mendoza; William B. Langdon; Hector Menendez; Justyna Petke,2023,2023-12-08,SSBSE 2023 / LNCS,conference paper,LLM-assisted architecture simulator testing,LLM for simulation workflow,ChatGPT parameterizes C programs that seed a custom AFL++ fuzzing flow,gem5 system simulator reliability,gem5; AFL++; differential testing,"4,005 binaries; +1000 lines test coverage; 244 divergent gem5 simulation instances",03_LLM_for_Simulation_Modeling_and_gem5,no,AI_for_Arch_LLM_Literature\03_LLM_for_Simulation_Modeling_and_gem5\2023_SSBSE_2023_Dakhama_SearchGEM5_Towards_Reliable_gem5_with_Search_Bas.pdf,https://doi.org/10.1007/978-3-031-48796-5_14,https://solar.cs.ucl.ac.uk/pdf/Dakhama_2023_SSBSE.pdf,DOI:10.1007/978-3-031-48796-5_14,"Not an architecture design paper, but directly improves architecture simulator reliability using LLMs."
searchsys_2025,main,Enhancing Search-Based Testing with LLMs for Finding Bugs in System Simulators,Aidan Dakhama; Karine Even-Mendoza; William B. Langdon; Hector D. Menendez; Justyna Petke,2025,2025-07-10,Automated Software Engineering,journal article,LLM-assisted architecture simulator testing,LLM for simulation workflow,Six LLMs generate structured test inputs that seed customized AFL++ mutation and differential testing,gem5 system simulator reliability,gem5; AFL++; SearchSYS; differential testing,"21 new gem5 bugs; 14 missimulations; 7 crashes; 101,442 issue-triggering inputs",03_LLM_for_Simulation_Modeling_and_gem5,no,AI_for_Arch_LLM_Literature\03_LLM_for_Simulation_Modeling_and_gem5\2025_Automated_Software_E_Dakhama_Enhancing_Search_Based_Testing_with_LLMs_for_Fin.pdf,https://doi.org/10.1007/s10515-025-00531-7,https://solar.cs.ucl.ac.uk/pdf/ASE_J_Gem5_11-apr-2025.pdf,DOI:10.1007/s10515-025-00531-7,Expanded journal version of SearchGEM5; strong simulator/tool reliability item.
looprag_2026,main,LOOPRAG: Enhancing Loop Transformation Optimization with Retrieval-Augmented Large Language Models,Yijie Zhi; Yayu Cao; Jianhua Dai; Xiaoyang Han; Jingwen Pu; Qingran Wu; Sheng Cheng; Ming Cai,2026,2026-03-24,ASPLOS 2026,top conference paper,compiler optimization with RAG LLMs,Cross-layer/HPC optimization,RAG augments LLM loop-transformation optimizer,loop transformation and performance portability; architecture-adjacent compiler optimization,not available from public program page,not available from public program page,04_LLM_for_Performance_Analysis_and_Optimization,yes,AI_for_Arch_LLM_Literature\04_LLM_for_Performance_Analysis_and_Optimization\2026_ASPLOS_2026_Zhi_LOOPRAG_Enhancing_Loop_Transformation_Optimizati.pdf,https://doi.org/10.1145/3779212.3790183,https://arxiv.org/abs/2512.15766,arXiv:2512.15766; DOI:10.1145/3779212.3790183,"Top-venue ASPLOS item; compiler/HPC-adjacent rather than architecture design, retained due broad scope."
